,date,name,code,diff,ranking,total
23655,05-09,朗科智能,300543,232,3083,3627
23656,05-10,朗科智能,300543,-26,3109,3626
23657,05-13,朗科智能,300543,-90,3199,3630
23658,05-14,朗科智能,300543,43,3156,3629
23659,05-15,朗科智能,300543,217,2939,3630
23660,05-16,朗科智能,300543,-109,3048,3630
23661,05-17,朗科智能,300543,-49,3097,3630
23662,05-09,联得装备,300545,38,1521,3627
23663,05-10,联得装备,300545,-39,1560,3626
23664,05-13,联得装备,300545,-61,1621,3630
23665,05-14,联得装备,300545,30,1591,3629
23666,05-15,联得装备,300545,-146,1737,3630
23667,05-16,联得装备,300545,-184,1921,3630
23668,05-17,联得装备,300545,97,1824,3630
23669,05-09,雄帝科技,300546,-62,3247,3627
23670,05-10,雄帝科技,300546,-6,3253,3626
23671,05-13,雄帝科技,300546,-90,3343,3630
23672,05-14,雄帝科技,300546,-4,3347,3629
23673,05-15,雄帝科技,300546,-29,3376,3630
23674,05-16,雄帝科技,300546,70,3306,3630
23675,05-17,雄帝科技,300546,39,3267,3630
23676,05-09,川环科技,300547,262,2084,3627
23677,05-10,川环科技,300547,5,2079,3626
23678,05-13,川环科技,300547,73,2006,3630
23679,05-14,川环科技,300547,55,1951,3629
23680,05-15,川环科技,300547,62,1889,3630
23681,05-16,川环科技,300547,106,1783,3630
23682,05-17,川环科技,300547,128,1655,3630
23683,05-09,博创科技,300548,-120,3226,3627
23684,05-10,博创科技,300548,-31,3257,3626
23685,05-13,博创科技,300548,-77,3334,3630
23686,05-14,博创科技,300548,-86,3420,3629
23687,05-15,博创科技,300548,-41,3461,3630
23688,05-16,博创科技,300548,-18,3479,3630
23689,05-17,博创科技,300548,31,3448,3630
23690,05-09,优德精密,300549,-6,3519,3627
23691,05-10,优德精密,300549,-8,3527,3626
23692,05-13,优德精密,300549,-28,3555,3630
23693,05-14,优德精密,300549,-2,3557,3629
23694,05-15,优德精密,300549,-8,3565,3630
23695,05-16,优德精密,300549,-7,3572,3630
23696,05-17,优德精密,300549,12,3560,3630
23697,05-09,和仁科技,300550,-101,2563,3627
23698,05-10,和仁科技,300550,-81,2644,3626
23699,05-13,和仁科技,300550,-167,2811,3630
23700,05-14,和仁科技,300550,-279,3090,3629
23701,05-15,和仁科技,300550,-209,3299,3630
23702,05-16,和仁科技,300550,-120,3419,3630
23703,05-17,和仁科技,300550,-68,3487,3630
23704,05-09,古鳌科技,300551,-107,3304,3627
23705,05-10,古鳌科技,300551,-64,3368,3626
23706,05-13,古鳌科技,300551,-58,3426,3630
23707,05-14,古鳌科技,300551,-58,3484,3629
23708,05-15,古鳌科技,300551,11,3473,3630
23709,05-16,古鳌科技,300551,13,3460,3630
23710,05-17,古鳌科技,300551,4,3456,3630
23711,05-09,万集科技,300552,-40,2551,3627
23712,05-10,万集科技,300552,354,2197,3626
23713,05-13,万集科技,300552,265,1932,3630
23714,05-14,万集科技,300552,-11,1943,3629
23715,05-15,万集科技,300552,-72,2015,3630
23716,05-16,万集科技,300552,-79,2094,3630
23717,05-17,万集科技,300552,-219,2313,3630
23718,05-09,集智股份,300553,-20,3508,3627
23719,05-10,集智股份,300553,-13,3521,3626
23720,05-13,集智股份,300553,-17,3538,3630
23721,05-14,集智股份,300553,6,3532,3629
23722,05-15,集智股份,300553,-13,3545,3630
23723,05-16,集智股份,300553,12,3533,3630
23724,05-17,集智股份,300553,0,3533,3630
23725,05-09,三超新材,300554,95,3096,3627
23726,05-10,三超新材,300554,7,3089,3626
23727,05-13,三超新材,300554,7,3082,3630
23728,05-14,三超新材,300554,-13,3095,3629
23729,05-15,三超新材,300554,37,3058,3630
23730,05-16,三超新材,300554,-51,3109,3630
23731,05-17,三超新材,300554,41,3068,3630
23732,05-09,路通视信,300555,-45,3119,3627
23733,05-10,路通视信,300555,-3,3122,3626
23734,05-13,路通视信,300555,-67,3189,3630
23735,05-14,路通视信,300555,682,2507,3629
23736,05-15,路通视信,300555,71,2436,3630
23737,05-16,路通视信,300555,-67,2503,3630
23738,05-17,路通视信,300555,1015,1488,3630
23739,05-09,丝路视觉,300556,2,2751,3627
23740,05-10,丝路视觉,300556,29,2722,3626
23741,05-13,丝路视觉,300556,401,2321,3630
23742,05-14,丝路视觉,300556,-7,2328,3629
23743,05-15,丝路视觉,300556,-27,2355,3630
23744,05-16,丝路视觉,300556,-79,2434,3630
23745,05-17,丝路视觉,300556,-36,2470,3630
23746,05-09,理工光科,300557,3,3608,3627
23747,05-10,理工光科,300557,-2,3610,3626
23748,05-13,理工光科,300557,-4,3614,3630
23749,05-14,理工光科,300557,-2,3616,3629
23750,05-15,理工光科,300557,2,3614,3630
23751,05-16,理工光科,300557,-3,3617,3630
23752,05-17,理工光科,300557,2,3615,3630
23753,05-09,贝达药业,300558,-113,1789,3627
23754,05-10,贝达药业,300558,-161,1950,3626
23755,05-13,贝达药业,300558,-169,2119,3630
23756,05-14,贝达药业,300558,-108,2227,3629
23757,05-15,贝达药业,300558,-238,2465,3630
23758,05-16,贝达药业,300558,-170,2635,3630
23759,05-17,贝达药业,300558,-54,2689,3630
23760,05-09,佳发教育,300559,221,3055,3627
23761,05-10,佳发教育,300559,-19,3074,3626
23762,05-13,佳发教育,300559,-72,3146,3630
23763,05-14,佳发教育,300559,-3,3149,3629
23764,05-15,佳发教育,300559,-11,3160,3630
23765,05-16,佳发教育,300559,-93,3253,3630
23766,05-17,佳发教育,300559,-83,3336,3630
23767,05-09,中富通,300560,-125,2192,3627
23768,05-10,中富通,300560,-24,2216,3626
23769,05-13,中富通,300560,-138,2354,3630
23770,05-14,中富通,300560,139,2215,3629
23771,05-15,中富通,300560,-46,2261,3630
23772,05-16,中富通,300560,-29,2290,3630
23773,05-17,中富通,300560,64,2226,3630
23774,05-09,汇金科技,300561,-34,165,3627
23775,05-10,汇金科技,300561,-17,182,3626
23776,05-13,汇金科技,300561,-10,192,3630
23777,05-14,汇金科技,300561,-16,208,3629
23778,05-15,汇金科技,300561,-111,319,3630
23779,05-16,汇金科技,300561,-70,389,3630
23780,05-17,汇金科技,300561,-77,466,3630
23781,05-09,乐心医疗,300562,-19,2754,3627
23782,05-10,乐心医疗,300562,-80,2834,3626
23783,05-13,乐心医疗,300562,-82,2916,3630
23784,05-14,乐心医疗,300562,-28,2944,3629
23785,05-15,乐心医疗,300562,-68,3012,3630
23786,05-16,乐心医疗,300562,97,2915,3630
23787,05-17,乐心医疗,300562,-41,2956,3630
23788,05-09,神宇股份,300563,-22,2103,3627
23789,05-10,神宇股份,300563,491,1612,3626
23790,05-13,神宇股份,300563,272,1340,3630
23791,05-14,神宇股份,300563,200,1140,3629
23792,05-15,神宇股份,300563,-94,1234,3630
23793,05-16,神宇股份,300563,-10,1244,3630
23794,05-17,神宇股份,300563,-227,1471,3630
23795,05-09,科信技术,300565,7,2585,3627
23796,05-10,科信技术,300565,41,2544,3626
23797,05-13,科信技术,300565,-32,2576,3630
23798,05-14,科信技术,300565,16,2560,3629
23799,05-15,科信技术,300565,-37,2597,3630
23800,05-16,科信技术,300565,-85,2682,3630
23801,05-17,科信技术,300565,18,2664,3630
23802,05-09,激智科技,300566,-210,1286,3627
23803,05-10,激智科技,300566,-199,1485,3626
23804,05-13,激智科技,300566,-529,2014,3630
23805,05-14,激智科技,300566,-310,2324,3629
23806,05-15,激智科技,300566,-161,2485,3630
23807,05-16,激智科技,300566,-194,2679,3630
23808,05-17,激智科技,300566,-141,2820,3630
23809,05-09,精测电子,300567,-124,2648,3627
23810,05-10,精测电子,300567,-26,2674,3626
23811,05-13,精测电子,300567,-176,2850,3630
23812,05-14,精测电子,300567,16,2834,3629
23813,05-15,精测电子,300567,-156,2990,3630
23814,05-16,精测电子,300567,22,2968,3630
23815,05-17,精测电子,300567,-35,3003,3630
23816,05-09,星源材质,300568,-33,2640,3627
23817,05-10,星源材质,300568,69,2571,3626
23818,05-13,星源材质,300568,119,2452,3630
23819,05-14,星源材质,300568,55,2397,3629
23820,05-15,星源材质,300568,3,2394,3630
23821,05-16,星源材质,300568,-16,2410,3630
23822,05-17,星源材质,300568,138,2272,3630
23823,05-09,天能重工,300569,-38,3034,3627
23824,05-10,天能重工,300569,30,3004,3626
23825,05-13,天能重工,300569,56,2948,3630
23826,05-14,天能重工,300569,-77,3025,3629
23827,05-15,天能重工,300569,-46,3071,3630
23828,05-16,天能重工,300569,-22,3093,3630
23829,05-17,天能重工,300569,-96,3189,3630
23830,05-09,太辰光,300570,13,2513,3627
23831,05-10,太辰光,300570,32,2481,3626
23832,05-13,太辰光,300570,-28,2509,3630
23833,05-14,太辰光,300570,-62,2571,3629
23834,05-15,太辰光,300570,-93,2664,3630
23835,05-16,太辰光,300570,-92,2756,3630
23836,05-17,太辰光,300570,26,2730,3630
23837,05-09,平治信息,300571,-56,2584,3627
23838,05-10,平治信息,300571,-81,2665,3626
23839,05-13,平治信息,300571,-68,2733,3630
23840,05-14,平治信息,300571,-66,2799,3629
23841,05-15,平治信息,300571,-61,2860,3630
23842,05-16,平治信息,300571,-42,2902,3630
23843,05-17,平治信息,300571,-7,2909,3630
23844,05-09,安车检测,300572,-7,3466,3627
23845,05-10,安车检测,300572,-28,3494,3626
23846,05-13,安车检测,300572,-11,3505,3630
23847,05-14,安车检测,300572,-48,3553,3629
23848,05-15,安车检测,300572,11,3542,3630
23849,05-16,安车检测,300572,-24,3566,3630
23850,05-17,安车检测,300572,-13,3579,3630
23851,05-09,兴齐眼药,300573,112,177,3627
23852,05-10,兴齐眼药,300573,123,54,3626
23853,05-13,兴齐眼药,300573,7,47,3630
23854,05-14,兴齐眼药,300573,-8,55,3629
23855,05-15,兴齐眼药,300573,-15,70,3630
23856,05-16,兴齐眼药,300573,-27,97,3630
23857,05-17,兴齐眼药,300573,-152,249,3630
23858,05-09,中旗股份,300575,243,2430,3627
23859,05-10,中旗股份,300575,-74,2504,3626
23860,05-13,中旗股份,300575,45,2459,3630
23861,05-14,中旗股份,300575,-125,2584,3629
23862,05-15,中旗股份,300575,-191,2775,3630
23863,05-16,中旗股份,300575,-111,2886,3630
23864,05-17,中旗股份,300575,-30,2916,3630
23865,05-09,容大感光,300576,591,2987,3627
23866,05-10,容大感光,300576,724,2263,3626
23867,05-13,容大感光,300576,1148,1115,3630
23868,05-14,容大感光,300576,572,543,3629
23869,05-15,容大感光,300576,53,490,3630
23870,05-16,容大感光,300576,21,469,3630
23871,05-17,容大感光,300576,-70,539,3630
23872,05-09,开润股份,300577,-20,3420,3627
23873,05-10,开润股份,300577,-8,3428,3626
23874,05-13,开润股份,300577,-50,3478,3630
23875,05-14,开润股份,300577,6,3472,3629
23876,05-15,开润股份,300577,10,3462,3630
23877,05-16,开润股份,300577,34,3428,3630
23878,05-17,开润股份,300577,-22,3450,3630
23879,05-09,会畅通讯,300578,-86,816,3627
23880,05-10,会畅通讯,300578,72,744,3626
23881,05-13,会畅通讯,300578,264,480,3630
23882,05-14,会畅通讯,300578,-58,538,3629
23883,05-15,会畅通讯,300578,-66,604,3630
23884,05-16,会畅通讯,300578,-71,675,3630
23885,05-17,会畅通讯,300578,-102,777,3630
23886,05-09,数字认证,300579,-11,1647,3627
23887,05-10,数字认证,300579,95,1552,3626
23888,05-13,数字认证,300579,161,1391,3630
23889,05-14,数字认证,300579,-16,1407,3629
23890,05-15,数字认证,300579,-155,1562,3630
23891,05-16,数字认证,300579,272,1290,3630
23892,05-17,数字认证,300579,-88,1378,3630
23893,05-09,贝斯特,300580,-14,3014,3627
23894,05-10,贝斯特,300580,6,3008,3626
23895,05-13,贝斯特,300580,3,3005,3630
23896,05-14,贝斯特,300580,69,2936,3629
23897,05-15,贝斯特,300580,69,2867,3630
23898,05-16,贝斯特,300580,26,2841,3630
23899,05-17,贝斯特,300580,-4,2845,3630
23900,05-09,晨曦航空,300581,29,3483,3627
23901,05-10,晨曦航空,300581,123,3360,3626
23902,05-13,晨曦航空,300581,62,3298,3630
23903,05-14,晨曦航空,300581,1416,1882,3629
23904,05-15,晨曦航空,300581,46,1836,3630
23905,05-16,晨曦航空,300581,130,1706,3630
23906,05-17,晨曦航空,300581,-70,1776,3630
23907,05-09,英飞特,300582,-46,2807,3627
23908,05-10,英飞特,300582,17,2790,3626
23909,05-13,英飞特,300582,-49,2839,3630
23910,05-14,英飞特,300582,-27,2866,3629
23911,05-15,英飞特,300582,137,2729,3630
23912,05-16,英飞特,300582,-20,2749,3630
23913,05-17,英飞特,300582,25,2724,3630
23914,05-09,赛托生物,300583,2,3569,3627
23915,05-10,赛托生物,300583,-4,3573,3626
23916,05-13,赛托生物,300583,1,3572,3630
23917,05-14,赛托生物,300583,3,3569,3629
23918,05-15,赛托生物,300583,-4,3573,3630
23919,05-16,赛托生物,300583,-2,3575,3630
23920,05-17,赛托生物,300583,-5,3580,3630
23921,05-09,海辰药业,300584,-58,3289,3627
23922,05-10,海辰药业,300584,-45,3334,3626
23923,05-13,海辰药业,300584,-69,3403,3630
23924,05-14,海辰药业,300584,-61,3464,3629
23925,05-15,海辰药业,300584,1,3463,3630
23926,05-16,海辰药业,300584,-19,3482,3630
23927,05-17,海辰药业,300584,-7,3489,3630
23928,05-09,奥联电子,300585,47,3462,3627
23929,05-10,奥联电子,300585,7,3455,3626
23930,05-13,奥联电子,300585,-12,3467,3630
23931,05-14,奥联电子,300585,15,3452,3629
23932,05-15,奥联电子,300585,16,3436,3630
23933,05-16,奥联电子,300585,-28,3464,3630
23934,05-17,奥联电子,300585,-2,3466,3630
23935,05-09,美联新材,300586,13,2943,3627
23936,05-10,美联新材,300586,-9,2952,3626
23937,05-13,美联新材,300586,28,2924,3630
23938,05-14,美联新材,300586,-3,2927,3629
23939,05-15,美联新材,300586,-7,2934,3630
23940,05-16,美联新材,300586,-89,3023,3630
23941,05-17,美联新材,300586,-37,3060,3630
23942,05-09,天铁股份,300587,158,3060,3627
23943,05-10,天铁股份,300587,-50,3110,3626
23944,05-13,天铁股份,300587,-65,3175,3630
23945,05-14,天铁股份,300587,-6,3181,3629
23946,05-15,天铁股份,300587,-24,3205,3630
23947,05-16,天铁股份,300587,-99,3304,3630
23948,05-17,天铁股份,300587,-26,3330,3630
23949,05-09,熙菱信息,300588,-21,3039,3627
23950,05-10,熙菱信息,300588,312,2727,3626
23951,05-13,熙菱信息,300588,725,2002,3630
23952,05-14,熙菱信息,300588,33,1969,3629
23953,05-15,熙菱信息,300588,-112,2081,3630
23954,05-16,熙菱信息,300588,-86,2167,3630
23955,05-17,熙菱信息,300588,-154,2321,3630
23956,05-09,江龙船艇,300589,39,2035,3627
23957,05-10,江龙船艇,300589,72,1963,3626
23958,05-13,江龙船艇,300589,151,1812,3630
23959,05-14,江龙船艇,300589,70,1742,3629
23960,05-15,江龙船艇,300589,-129,1871,3630
23961,05-16,江龙船艇,300589,-31,1902,3630
23962,05-17,江龙船艇,300589,-94,1996,3630
23963,05-09,移为通信,300590,-126,1729,3627
23964,05-10,移为通信,300590,80,1649,3626
23965,05-13,移为通信,300590,2,1647,3630
23966,05-14,移为通信,300590,-73,1720,3629
23967,05-15,移为通信,300590,-71,1791,3630
23968,05-16,移为通信,300590,14,1777,3630
23969,05-17,移为通信,300590,-94,1871,3630
23970,05-09,万里马,300591,-12,3541,3627
23971,05-10,万里马,300591,1,3540,3626
23972,05-13,万里马,300591,10,3530,3630
23973,05-14,万里马,300591,8,3522,3629
23974,05-15,万里马,300591,-6,3528,3630
23975,05-16,万里马,300591,33,3495,3630
23976,05-17,万里马,300591,-8,3503,3630
23977,05-09,华凯创意,300592,3,3602,3627
23978,05-10,华凯创意,300592,-1,3603,3626
23979,05-13,华凯创意,300592,28,3575,3630
23980,05-14,华凯创意,300592,50,3525,3629
23981,05-15,华凯创意,300592,40,3485,3630
23982,05-16,华凯创意,300592,-24,3509,3630
23983,05-17,华凯创意,300592,-10,3519,3630
23984,05-09,新雷能,300593,0,3187,3627
23985,05-10,新雷能,300593,46,3141,3626
23986,05-13,新雷能,300593,2,3139,3630
23987,05-14,新雷能,300593,-21,3160,3629
23988,05-15,新雷能,300593,-23,3183,3630
23989,05-16,新雷能,300593,-28,3211,3630
23990,05-17,新雷能,300593,-53,3264,3630
23991,05-09,欧普康视,300595,12,2186,3627
23992,05-10,欧普康视,300595,135,2051,3626
23993,05-13,欧普康视,300595,337,1714,3630
23994,05-14,欧普康视,300595,7,1707,3629
23995,05-15,欧普康视,300595,-33,1740,3630
23996,05-16,欧普康视,300595,-104,1844,3630
23997,05-17,欧普康视,300595,78,1766,3630
23998,05-09,利安隆,300596,42,3448,3627
23999,05-10,利安隆,300596,46,3402,3626
24000,05-13,利安隆,300596,1,3401,3630
24001,05-14,利安隆,300596,-9,3410,3629
24002,05-15,利安隆,300596,-23,3433,3630
24003,05-16,利安隆,300596,-36,3469,3630
24004,05-17,利安隆,300596,-16,3485,3630
24005,05-09,吉大通信,300597,12,1403,3627
24006,05-10,吉大通信,300597,57,1346,3626
24007,05-13,吉大通信,300597,-26,1372,3630
24008,05-14,吉大通信,300597,193,1179,3629
24009,05-15,吉大通信,300597,-4,1183,3630
24010,05-16,吉大通信,300597,-86,1269,3630
24011,05-17,吉大通信,300597,10,1259,3630
24012,05-09,诚迈科技,300598,83,1917,3627
24013,05-10,诚迈科技,300598,32,1885,3626
24014,05-13,诚迈科技,300598,-25,1910,3630
24015,05-14,诚迈科技,300598,30,1880,3629
24016,05-15,诚迈科技,300598,242,1638,3630
24017,05-16,诚迈科技,300598,-57,1695,3630
24018,05-17,诚迈科技,300598,952,743,3630
24019,05-09,雄塑科技,300599,0,3291,3627
24020,05-10,雄塑科技,300599,36,3255,3626
24021,05-13,雄塑科技,300599,-32,3287,3630
24022,05-14,雄塑科技,300599,38,3249,3629
24023,05-15,雄塑科技,300599,14,3235,3630
24024,05-16,雄塑科技,300599,6,3229,3630
24025,05-17,雄塑科技,300599,-24,3253,3630
24026,05-09,瑞特股份,300600,180,1903,3627
24027,05-10,瑞特股份,300600,-100,2003,3626
24028,05-13,瑞特股份,300600,-63,2066,3630
24029,05-14,瑞特股份,300600,17,2049,3629
24030,05-15,瑞特股份,300600,-327,2376,3630
24031,05-16,瑞特股份,300600,-289,2665,3630
24032,05-17,瑞特股份,300600,-152,2817,3630
24033,05-09,康泰生物,300601,197,1225,3627
24034,05-10,康泰生物,300601,78,1147,3626
24035,05-13,康泰生物,300601,-136,1283,3630
24036,05-14,康泰生物,300601,109,1174,3629
24037,05-15,康泰生物,300601,-50,1224,3630
24038,05-16,康泰生物,300601,-109,1333,3630
24039,05-17,康泰生物,300601,-173,1506,3630
24040,05-09,飞荣达,300602,-5,2279,3627
24041,05-10,飞荣达,300602,-41,2320,3626
24042,05-13,飞荣达,300602,112,2208,3630
24043,05-14,飞荣达,300602,82,2126,3629
24044,05-15,飞荣达,300602,0,2126,3630
24045,05-16,飞荣达,300602,119,2007,3630
24046,05-17,飞荣达,300602,472,1535,3630
24047,05-09,立昂技术,300603,-21,2801,3627
24048,05-10,立昂技术,300603,-59,2860,3626
24049,05-13,立昂技术,300603,46,2814,3630
24050,05-14,立昂技术,300603,107,2707,3629
24051,05-15,立昂技术,300603,-102,2809,3630
24052,05-16,立昂技术,300603,-47,2856,3630
24053,05-17,立昂技术,300603,4,2852,3630
24054,05-09,长川科技,300604,239,2467,3627
24055,05-10,长川科技,300604,72,2395,3626
24056,05-13,长川科技,300604,73,2322,3630
24057,05-14,长川科技,300604,-8,2330,3629
24058,05-15,长川科技,300604,-196,2526,3630
24059,05-16,长川科技,300604,-182,2708,3630
24060,05-17,长川科技,300604,-21,2729,3630
24061,05-09,恒锋信息,300605,24,3155,3627
24062,05-10,恒锋信息,300605,13,3142,3626
24063,05-13,恒锋信息,300605,1,3141,3630
24064,05-14,恒锋信息,300605,-17,3158,3629
24065,05-15,恒锋信息,300605,-41,3199,3630
24066,05-16,恒锋信息,300605,-61,3260,3630
24067,05-17,恒锋信息,300605,-43,3303,3630
24068,05-09,金太阳,300606,8,3503,3627
24069,05-10,金太阳,300606,-2,3505,3626
24070,05-13,金太阳,300606,51,3454,3630
24071,05-14,金太阳,300606,-3,3457,3629
24072,05-15,金太阳,300606,-17,3474,3630
24073,05-16,金太阳,300606,12,3462,3630
24074,05-17,金太阳,300606,11,3451,3630
24075,05-09,拓斯达,300607,-114,2766,3627
24076,05-10,拓斯达,300607,-14,2780,3626
24077,05-13,拓斯达,300607,-25,2805,3630
24078,05-14,拓斯达,300607,-34,2839,3629
24079,05-15,拓斯达,300607,217,2622,3630
24080,05-16,拓斯达,300607,-78,2700,3630
24081,05-17,拓斯达,300607,-103,2803,3630
24082,05-09,思特奇,300608,-187,2898,3627
24083,05-10,思特奇,300608,-3,2901,3626
24084,05-13,思特奇,300608,-258,3159,3630
24085,05-14,思特奇,300608,-12,3171,3629
24086,05-15,思特奇,300608,-54,3225,3630
24087,05-16,思特奇,300608,-17,3242,3630
24088,05-17,思特奇,300608,-87,3329,3630
24089,05-09,汇纳科技,300609,-132,3229,3627
24090,05-10,汇纳科技,300609,-30,3259,3626
24091,05-13,汇纳科技,300609,-62,3321,3630
24092,05-14,汇纳科技,300609,-79,3400,3629
24093,05-15,汇纳科技,300609,-56,3456,3630
24094,05-16,汇纳科技,300609,-18,3474,3630
24095,05-17,汇纳科技,300609,-19,3493,3630
24096,05-09,晨化股份,300610,-101,3270,3627
24097,05-10,晨化股份,300610,-65,3335,3626
24098,05-13,晨化股份,300610,-123,3458,3630
24099,05-14,晨化股份,300610,1028,2430,3629
24100,05-15,晨化股份,300610,801,1629,3630
24101,05-16,晨化股份,300610,83,1546,3630
24102,05-17,晨化股份,300610,-69,1615,3630
24103,05-09,美力科技,300611,61,3348,3627
24104,05-10,美力科技,300611,-26,3374,3626
24105,05-13,美力科技,300611,-23,3397,3630
24106,05-14,美力科技,300611,-12,3409,3629
24107,05-15,美力科技,300611,11,3398,3630
24108,05-16,美力科技,300611,-41,3439,3630
24109,05-17,美力科技,300611,-14,3453,3630
24110,05-09,宣亚国际,300612,12,2508,3627
24111,05-10,宣亚国际,300612,-37,2545,3626
24112,05-13,宣亚国际,300612,-39,2584,3630
24113,05-14,宣亚国际,300612,496,2088,3629
24114,05-15,宣亚国际,300612,-27,2115,3630
24115,05-16,宣亚国际,300612,-82,2197,3630
24116,05-17,宣亚国际,300612,42,2155,3630
24117,05-09,富瀚微,300613,80,3002,3627
24118,05-10,富瀚微,300613,39,2963,3626
24119,05-13,富瀚微,300613,62,2901,3630
24120,05-14,富瀚微,300613,0,2901,3629
24121,05-15,富瀚微,300613,-58,2959,3630
24122,05-16,富瀚微,300613,-120,3079,3630
24123,05-17,富瀚微,300613,75,3004,3630
24124,05-09,欣天科技,300615,-3,2752,3627
24125,05-10,欣天科技,300615,45,2707,3626
24126,05-13,欣天科技,300615,-37,2744,3630
24127,05-14,欣天科技,300615,1130,1614,3629
24128,05-15,欣天科技,300615,157,1457,3630
24129,05-16,欣天科技,300615,-11,1468,3630
24130,05-17,欣天科技,300615,12,1456,3630
24131,05-09,尚品宅配,300616,-102,2945,3627
24132,05-10,尚品宅配,300616,-174,3119,3626
24133,05-13,尚品宅配,300616,-25,3144,3630
24134,05-14,尚品宅配,300616,-1,3145,3629
24135,05-15,尚品宅配,300616,-186,3331,3630
24136,05-16,尚品宅配,300616,-59,3390,3630
24137,05-17,尚品宅配,300616,-28,3418,3630
24138,05-09,安靠智电,300617,-11,3535,3627
24139,05-10,安靠智电,300617,-2,3537,3626
24140,05-13,安靠智电,300617,14,3523,3630
24141,05-14,安靠智电,300617,-1,3524,3629
24142,05-15,安靠智电,300617,-28,3552,3630
24143,05-16,安靠智电,300617,1,3551,3630
24144,05-17,安靠智电,300617,-4,3555,3630
24145,05-09,寒锐钴业,300618,-41,802,3627
24146,05-10,寒锐钴业,300618,-22,824,3626
24147,05-13,寒锐钴业,300618,25,799,3630
24148,05-14,寒锐钴业,300618,-35,834,3629
24149,05-15,寒锐钴业,300618,-48,882,3630
24150,05-16,寒锐钴业,300618,148,734,3630
24151,05-17,寒锐钴业,300618,46,688,3630
24152,05-09,金银河,300619,3,3533,3627
24153,05-10,金银河,300619,-2,3535,3626
24154,05-13,金银河,300619,10,3525,3630
24155,05-14,金银河,300619,-4,3529,3629
24156,05-15,金银河,300619,4,3525,3630
24157,05-16,金银河,300619,-4,3529,3630
24158,05-17,金银河,300619,11,3518,3630
24159,05-09,光库科技,300620,-9,3077,3627
24160,05-10,光库科技,300620,-24,3101,3626
24161,05-13,光库科技,300620,-51,3152,3630
24162,05-14,光库科技,300620,-37,3189,3629
24163,05-15,光库科技,300620,14,3175,3630
24164,05-16,光库科技,300620,-13,3188,3630
24165,05-17,光库科技,300620,-10,3198,3630
24166,05-09,维业股份,300621,5,3559,3627
24167,05-10,维业股份,300621,-4,3563,3626
24168,05-13,维业股份,300621,-2,3565,3630
24169,05-14,维业股份,300621,15,3550,3629
24170,05-15,维业股份,300621,-3,3553,3630
24171,05-16,维业股份,300621,16,3537,3630
24172,05-17,维业股份,300621,25,3512,3630
24173,05-09,博士眼镜,300622,-43,2581,3627
24174,05-10,博士眼镜,300622,64,2517,3626
24175,05-13,博士眼镜,300622,-218,2735,3630
24176,05-14,博士眼镜,300622,-140,2875,3629
24177,05-15,博士眼镜,300622,-70,2945,3630
24178,05-16,博士眼镜,300622,-162,3107,3630
24179,05-17,博士眼镜,300622,-120,3227,3630
24180,05-09,捷捷微电,300623,470,1819,3627
24181,05-10,捷捷微电,300623,13,1806,3626
24182,05-13,捷捷微电,300623,-85,1891,3630
24183,05-14,捷捷微电,300623,-28,1919,3629
24184,05-15,捷捷微电,300623,-100,2019,3630
24185,05-16,捷捷微电,300623,-316,2335,3630
24186,05-17,捷捷微电,300623,133,2202,3630
24187,05-09,万兴科技,300624,-44,2522,3627
24188,05-10,万兴科技,300624,-33,2555,3626
24189,05-13,万兴科技,300624,-104,2659,3630
24190,05-14,万兴科技,300624,13,2646,3629
24191,05-15,万兴科技,300624,-10,2656,3630
24192,05-16,万兴科技,300624,-59,2715,3630
24193,05-17,万兴科技,300624,41,2674,3630
24194,05-09,三雄极光,300625,32,3351,3627
24195,05-10,三雄极光,300625,-12,3363,3626
24196,05-13,三雄极光,300625,-28,3391,3630
24197,05-14,三雄极光,300625,3,3388,3629
24198,05-15,三雄极光,300625,-17,3405,3630
24199,05-16,三雄极光,300625,26,3379,3630
24200,05-17,三雄极光,300625,23,3356,3630
24201,05-09,华瑞股份,300626,-4,3574,3627
24202,05-10,华瑞股份,300626,-3,3577,3626
24203,05-13,华瑞股份,300626,60,3517,3630
24204,05-14,华瑞股份,300626,11,3506,3629
24205,05-15,华瑞股份,300626,485,3021,3630
24206,05-16,华瑞股份,300626,141,2880,3630
24207,05-17,华瑞股份,300626,-46,2926,3630
24208,05-09,华测导航,300627,-4,3104,3627
24209,05-10,华测导航,300627,148,2956,3626
24210,05-13,华测导航,300627,96,2860,3630
24211,05-14,华测导航,300627,184,2676,3629
24212,05-15,华测导航,300627,24,2652,3630
24213,05-16,华测导航,300627,460,2192,3630
24214,05-17,华测导航,300627,-43,2235,3630
24215,05-09,亿联网络,300628,-19,1728,3627
24216,05-10,亿联网络,300628,70,1658,3626
24217,05-13,亿联网络,300628,189,1469,3630
24218,05-14,亿联网络,300628,-11,1480,3629
24219,05-15,亿联网络,300628,-47,1527,3630
24220,05-16,亿联网络,300628,-61,1588,3630
24221,05-17,亿联网络,300628,-23,1611,3630
24222,05-09,新劲刚,300629,-10,3474,3627
24223,05-10,新劲刚,300629,-24,3498,3626
24224,05-13,新劲刚,300629,1,3497,3630
24225,05-14,新劲刚,300629,39,3458,3629
24226,05-15,新劲刚,300629,-25,3483,3630
24227,05-16,新劲刚,300629,-28,3511,3630
24228,05-17,新劲刚,300629,10,3501,3630
