,date,name,code,diff,ranking,total
197,05-10,歌华有线,600037,-40,1503,3626
198,05-13,歌华有线,600037,-83,1586,3630
199,05-14,歌华有线,600037,107,1479,3629
200,05-15,歌华有线,600037,177,1302,3630
201,05-16,歌华有线,600037,-79,1381,3630
202,05-17,歌华有线,600037,-20,1401,3630
203,05-09,中直股份,600038,5,1354,3627
204,05-10,中直股份,600038,22,1332,3626
205,05-13,中直股份,600038,25,1307,3630
206,05-14,中直股份,600038,14,1293,3629
207,05-15,中直股份,600038,-68,1361,3630
208,05-16,中直股份,600038,-11,1372,3630
209,05-17,中直股份,600038,-90,1462,3630
210,05-09,四川路桥,600039,-24,1187,3627
211,05-10,四川路桥,600039,34,1153,3626
212,05-13,四川路桥,600039,-17,1170,3630
213,05-14,四川路桥,600039,-43,1213,3629
214,05-15,四川路桥,600039,12,1201,3630
215,05-16,四川路桥,600039,29,1172,3630
216,05-17,四川路桥,600039,-61,1233,3630
217,05-09,保利地产,600048,12,301,3627
218,05-10,保利地产,600048,13,288,3626
219,05-13,保利地产,600048,-41,329,3630
220,05-14,保利地产,600048,41,288,3629
221,05-15,保利地产,600048,9,279,3630
222,05-16,保利地产,600048,-40,319,3630
223,05-17,保利地产,600048,-34,353,3630
224,05-09,中国联通,600050,4,37,3627
225,05-10,中国联通,600050,0,37,3626
226,05-13,中国联通,600050,-7,44,3630
227,05-14,中国联通,600050,-1,45,3629
228,05-15,中国联通,600050,0,45,3630
229,05-16,中国联通,600050,-11,56,3630
230,05-17,中国联通,600050,-3,59,3630
231,05-09,宁波联合,600051,-20,3464,3627
232,05-10,宁波联合,600051,2,3462,3626
233,05-13,宁波联合,600051,18,3444,3630
234,05-14,宁波联合,600051,9,3435,3629
235,05-15,宁波联合,600051,11,3424,3630
236,05-16,宁波联合,600051,10,3414,3630
237,05-17,宁波联合,600051,8,3406,3630
238,05-09,浙江广厦,600052,-59,2883,3627
239,05-10,浙江广厦,600052,3,2880,3626
240,05-13,浙江广厦,600052,3,2877,3630
241,05-14,浙江广厦,600052,-62,2939,3629
242,05-15,浙江广厦,600052,14,2925,3630
243,05-16,浙江广厦,600052,-19,2944,3630
244,05-17,浙江广厦,600052,-39,2983,3630
245,05-09,九鼎投资,600053,-83,712,3627
246,05-10,九鼎投资,600053,-121,833,3626
247,05-13,九鼎投资,600053,-113,946,3630
248,05-14,九鼎投资,600053,229,717,3629
249,05-15,九鼎投资,600053,-47,764,3630
250,05-16,九鼎投资,600053,-7,771,3630
251,05-17,九鼎投资,600053,9,762,3630
252,05-09,黄山旅游,600054,-129,2401,3627
253,05-10,黄山旅游,600054,-87,2488,3626
254,05-13,黄山旅游,600054,-163,2651,3630
255,05-14,黄山旅游,600054,-40,2691,3629
256,05-15,黄山旅游,600054,-11,2702,3630
257,05-16,黄山旅游,600054,-14,2716,3630
258,05-17,黄山旅游,600054,-7,2723,3630
259,05-09,万东医疗,600055,-90,2544,3627
260,05-10,万东医疗,600055,-49,2593,3626
261,05-13,万东医疗,600055,66,2527,3630
262,05-14,万东医疗,600055,-132,2659,3629
263,05-15,万东医疗,600055,-140,2799,3630
264,05-16,万东医疗,600055,-24,2823,3630
265,05-17,万东医疗,600055,28,2795,3630
266,05-09,中国医药,600056,-52,1010,3627
267,05-10,中国医药,600056,-28,1038,3626
268,05-13,中国医药,600056,-103,1141,3630
269,05-14,中国医药,600056,-37,1178,3629
270,05-15,中国医药,600056,-24,1202,3630
271,05-16,中国医药,600056,21,1181,3630
272,05-17,中国医药,600056,-16,1197,3630
273,05-09,厦门象屿,600057,-78,1915,3627
274,05-10,厦门象屿,600057,-12,1927,3626
275,05-13,厦门象屿,600057,-61,1988,3630
276,05-14,厦门象屿,600057,41,1947,3629
277,05-15,厦门象屿,600057,33,1914,3630
278,05-16,厦门象屿,600057,-39,1953,3630
279,05-17,厦门象屿,600057,-15,1968,3630
280,05-09,五矿发展,600058,-99,2150,3627
281,05-10,五矿发展,600058,-29,2179,3626
282,05-13,五矿发展,600058,-76,2255,3630
283,05-14,五矿发展,600058,-65,2320,3629
284,05-15,五矿发展,600058,-129,2449,3630
285,05-16,五矿发展,600058,1217,1232,3630
286,05-17,五矿发展,600058,115,1117,3630
287,05-09,古越龙山,600059,1106,1413,3627
288,05-10,古越龙山,600059,-61,1474,3626
289,05-13,古越龙山,600059,686,788,3630
290,05-14,古越龙山,600059,-6,794,3629
291,05-15,古越龙山,600059,204,590,3630
292,05-16,古越龙山,600059,-83,673,3630
293,05-17,古越龙山,600059,-16,689,3630
294,05-09,海信电器,600060,-32,761,3627
295,05-10,海信电器,600060,-41,802,3626
296,05-13,海信电器,600060,-92,894,3630
297,05-14,海信电器,600060,-26,920,3629
298,05-15,海信电器,600060,-27,947,3630
299,05-16,海信电器,600060,-78,1025,3630
300,05-17,海信电器,600060,-25,1050,3630
301,05-09,国投资本,600061,-51,1151,3627
302,05-10,国投资本,600061,-3,1154,3626
303,05-13,国投资本,600061,-203,1357,3630
304,05-14,国投资本,600061,359,998,3629
305,05-15,国投资本,600061,-55,1053,3630
306,05-16,国投资本,600061,-129,1182,3630
307,05-17,国投资本,600061,-73,1255,3630
308,05-09,华润双鹤,600062,-92,1513,3627
309,05-10,华润双鹤,600062,-73,1586,3626
310,05-13,华润双鹤,600062,-244,1830,3630
311,05-14,华润双鹤,600062,-17,1847,3629
312,05-15,华润双鹤,600062,-14,1861,3630
313,05-16,华润双鹤,600062,-11,1872,3630
314,05-17,华润双鹤,600062,-77,1949,3630
315,05-09,皖维高新,600063,308,1178,3627
316,05-10,皖维高新,600063,9,1169,3626
317,05-13,皖维高新,600063,-117,1286,3630
318,05-14,皖维高新,600063,-46,1332,3629
319,05-15,皖维高新,600063,2,1330,3630
320,05-16,皖维高新,600063,-170,1500,3630
321,05-17,皖维高新,600063,-80,1580,3630
322,05-09,南京高科,600064,-73,733,3627
323,05-10,南京高科,600064,-54,787,3626
324,05-13,南京高科,600064,38,749,3630
325,05-14,南京高科,600064,20,729,3629
326,05-15,南京高科,600064,-47,776,3630
327,05-16,南京高科,600064,-21,797,3630
328,05-17,南京高科,600064,-39,836,3630
329,05-09,宇通客车,600066,24,322,3627
330,05-10,宇通客车,600066,-23,345,3626
331,05-13,宇通客车,600066,-40,385,3630
332,05-14,宇通客车,600066,-4,389,3629
333,05-15,宇通客车,600066,52,337,3630
334,05-16,宇通客车,600066,-15,352,3630
335,05-17,宇通客车,600066,-52,404,3630
336,05-09,冠城大通,600067,208,2132,3627
337,05-10,冠城大通,600067,-63,2195,3626
338,05-13,冠城大通,600067,-197,2392,3630
339,05-14,冠城大通,600067,194,2198,3629
340,05-15,冠城大通,600067,168,2030,3630
341,05-16,冠城大通,600067,-110,2140,3630
342,05-17,冠城大通,600067,-91,2231,3630
343,05-09,葛洲坝,600068,-16,467,3627
344,05-10,葛洲坝,600068,-10,477,3626
345,05-13,葛洲坝,600068,-49,526,3630
346,05-14,葛洲坝,600068,-4,530,3629
347,05-15,葛洲坝,600068,19,511,3630
348,05-16,葛洲坝,600068,21,490,3630
349,05-17,葛洲坝,600068,-46,536,3630
350,05-09,银鸽投资,600069,-120,1700,3627
351,05-10,银鸽投资,600069,-69,1769,3626
352,05-13,银鸽投资,600069,235,1534,3630
353,05-14,银鸽投资,600069,-8,1542,3629
354,05-15,银鸽投资,600069,-128,1670,3630
355,05-16,银鸽投资,600069,-58,1728,3630
356,05-17,银鸽投资,600069,-31,1759,3630
357,05-09,浙江富润,600070,-23,413,3627
358,05-10,浙江富润,600070,-87,500,3626
359,05-13,浙江富润,600070,-173,673,3630
360,05-14,浙江富润,600070,-159,832,3629
361,05-15,浙江富润,600070,-127,959,3630
362,05-16,浙江富润,600070,-230,1189,3630
363,05-17,浙江富润,600070,-159,1348,3630
364,05-09,凤凰光学,600071,-34,3087,3627
365,05-10,凤凰光学,600071,-47,3134,3626
366,05-13,凤凰光学,600071,-88,3222,3630
367,05-14,凤凰光学,600071,-20,3242,3629
368,05-15,凤凰光学,600071,-50,3292,3630
369,05-16,凤凰光学,600071,-39,3331,3630
370,05-17,凤凰光学,600071,57,3274,3630
371,05-09,中船科技,600072,-16,192,3627
372,05-10,中船科技,600072,7,185,3626
373,05-13,中船科技,600072,-14,199,3630
374,05-14,中船科技,600072,-16,215,3629
375,05-15,中船科技,600072,-22,237,3630
376,05-16,中船科技,600072,-18,255,3630
377,05-17,中船科技,600072,-35,290,3630
378,05-09,上海梅林,600073,-41,290,3627
379,05-10,上海梅林,600073,-59,349,3626
380,05-13,上海梅林,600073,-137,486,3630
381,05-14,上海梅林,600073,87,399,3629
382,05-15,上海梅林,600073,-22,421,3630
383,05-16,上海梅林,600073,-55,476,3630
384,05-17,上海梅林,600073,-13,489,3630
385,05-09,*ST保千,600074,-193,2157,3627
386,05-10,*ST保千,600074,-126,2283,3626
387,05-13,*ST保千,600074,71,2212,3630
388,05-14,*ST保千,600074,9,2203,3629
389,05-15,*ST保千,600074,18,2185,3630
390,05-16,*ST保千,600074,-50,2235,3630
391,05-17,*ST保千,600074,697,1538,3630
392,05-09,新疆天业,600075,-19,1698,3627
393,05-10,新疆天业,600075,15,1683,3626
394,05-13,新疆天业,600075,-68,1751,3630
395,05-14,新疆天业,600075,-50,1801,3629
396,05-15,新疆天业,600075,175,1626,3630
397,05-16,新疆天业,600075,222,1404,3630
398,05-17,新疆天业,600075,-3,1407,3630
399,05-09,康欣新材,600076,-59,1740,3627
400,05-10,康欣新材,600076,-6,1746,3626
401,05-13,康欣新材,600076,-81,1827,3630
402,05-14,康欣新材,600076,21,1806,3629
403,05-15,康欣新材,600076,35,1771,3630
404,05-16,康欣新材,600076,41,1730,3630
405,05-17,康欣新材,600076,57,1673,3630
406,05-09,宋都股份,600077,35,2580,3627
